Factor,Subject,Options,AvgMarksFail,StudentPercentFail,AvgMarksTop,StudentPercentTop,,
Gender,Science,Girl,24.65,0.5158,85.23,0.5361,,
Gender,Science,Boy,24.88,0.4842,84.61,0.4639,,
,,,,,,,,
Gender,Maths,Girl,22.94,0.5152,86.66,0.5124,,
Gender,Maths,Boy,23.29,0.4848,87.19,0.4876,,
,,,,,,,,
Category,Maths,Other,23.39,0.2947,87.34,0.2655,,
Category,Maths,OBC,23.19,0.3051,87.16,0.3817,,
Category,Maths,ST,22.98,0.1858,86.12,0.114,,
Category,Maths,SC,22.81,0.2144,86.37,0.2388,,
,,,,,,,,
Category,Social,Other,25.32,0.2776,84.65,0.2967,,
Category,Social,OBC,24.71,0.2976,85.26,0.3976,,
Category,Social,ST,24.89,0.2032,84.22,0.1039,,
Category,Social,SC,24.56,0.2217,85.51,0.2018,,
,,,,,,,,
Category,Science,Other,25.17,0.2785,84.87,0.3432,,
Category,Science,OBC,24.58,0.3031,85.24,0.3284,,
Category,Science,ST,25.09,0.1922,84.94,0.1494,,
Category,Science,SC,24.42,0.2262,84.7,0.179,,
,,,,,,,,
Category,Reading,Other,21.96,0.26,87.58,0.3736,,
Category,Reading,OBC,21.26,0.3035,86.96,0.3366,,
Category,Reading,ST,22,0.2135,87.82,0.1272,,
Category,Reading,SC,21.13,0.223,86.98,0.1626,,
,,,,,,,,
Sibling,Reading,Single Child,21.24,0.3754,87.34,0.2061,,
Sibling,Reading,4+ siblings,21.7,0.2066,87.34,0.1747,,
Sibling,Reading,3 siblings,21.81,0.2204,87.14,0.2673,,
Sibling,Reading,2 siblings,21.66,0.1574,87.25,0.2962,,
Sibling,Reading,1 sibling,21.26,0.0402,87.75,0.0557,,
,,,,,,,,
Sibling,Science,Single Child,24.4,0.3399,84.76,0.3499,,
Sibling,Science,4+ siblings,24.78,0.2027,85,0.1874,,
Sibling,Science,3 siblings,25.09,0.2381,85.21,0.2608,,
Sibling,Science,2 siblings,25.13,0.18,84.88,0.1599,,
Sibling,Science,1 sibling,24.17,0.0393,84.6,0.0419,,
,,,,,,,,
Sibling,Maths,Single Child,22.66,0.3092,86.78,0.3446,,
Sibling,Maths,4+ siblings,23.05,0.1982,87.28,0.2362,,
Sibling,Maths,3 siblings,23.33,0.2493,86.91,0.2438,,
Sibling,Maths,2 siblings,23.6,0.2038,86.36,0.134,,
Sibling,Maths,1 sibling,22.99,0.0395,88.01,0.0414,,
,,,,,,,,
Sibling,Social,Single Child,24.56,0.3298,85.05,0.431,,
Sibling,Social,4+ siblings,25.05,0.1977,85.47,0.1954,,
Sibling,Social,3 siblings,25.09,0.2417,85.22,0.2026,,
Sibling,Social,2 siblings,24.98,0.1872,84.04,0.1365,,
Sibling,Social,1 sibling,24.41,0.0437,84.72,0.0345,,
,,,,,,,,
Play Games,Social,Every day,24.83,0.6329,85.06,0.7605,,
Play Games,Social,Once a week,25.24,0.1972,84.85,0.1356,,
